City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,13.79,53,29,9.09,ZA,1698532297
1,ushuaia,-54.8,-68.3,5.81,65,40,6.69,AR,1698532292
2,lorengau,-2.0226,147.2712,28.01,82,97,4.6,PG,1698532298
3,mandalgovi,45.7625,106.2708,-0.79,62,82,6.24,MN,1698532298
4,leninskoye,41.7589,69.3864,17.02,45,75,2.47,KZ,1698532299
5,west island,-12.1568,96.8225,25.99,73,100,8.75,CC,1698532299
6,mil'kovo,55.6078,37.7956,0.75,98,100,4.89,RU,1698532299
7,itoman,26.1247,127.6694,22.01,67,20,4.12,JP,1698532299
8,badger,64.8,-147.5333,-2.88,88,20,0.0,US,1698532299
9,port-aux-francais,-49.35,70.2167,4.61,97,100,9.78,TF,1698532300
10,mozarlandia,-14.7447,-50.5706,30.99,41,99,4.17,BR,1698532300
11,ilulissat,69.2167,-51.1,-3.99,68,86,4.12,GL,1698532300
12,sinop,41.7711,34.8709,15.82,66,4,2.24,TR,1698532301
13,san luis de la loma,17.2706,-100.8939,27.97,82,100,2.07,MX,1698532301
14,margaret river,-33.95,115.0667,15.27,83,100,4.34,AU,1698532301
15,adamstown,-25.066,-130.1015,22.89,81,100,6.95,PN,1698532301
16,chandla,25.0833,80.2,20.17,43,60,1.7,IN,1698532302
17,dhidhdhoo,6.8833,73.1,27.78,76,93,1.46,MV,1698532302
18,invercargill,-46.4,168.35,12.79,68,71,0.89,NZ,1698532302
19,waitangi,-43.9535,-176.5597,10.48,79,27,9.24,NZ,1698532303
20,grytviken,-54.2811,-36.5092,2.32,94,93,4.71,GS,1698532303
21,ocean city,39.2776,-74.5746,24.14,70,0,3.2,US,1698532303
22,bargaal,11.2864,51.0773,25.5,81,100,2.25,SO,1698532304
23,olonkinbyen,70.9221,-8.7187,-0.53,71,99,2.6,SJ,1698532304
24,yellowknife,62.456,-114.3525,0.31,83,75,7.2,CA,1698532304
25,malpe,13.35,74.7167,26.61,88,16,1.71,IN,1698532304
26,bredasdorp,-34.5322,20.0403,12.92,51,89,5.93,ZA,1698532305
27,lihue,21.9789,-159.3672,28.58,64,0,3.6,US,1698532305
28,tobelo,1.7284,128.0095,27.35,74,47,1.05,ID,1698532305
29,whitehorse,60.7161,-135.0538,-4.57,93,100,4.12,CA,1698532306
30,avarua,-21.2078,-159.775,25.03,61,75,5.66,CK,1698532306
31,cabo san lucas,22.8909,-109.9124,29.78,57,0,8.75,MX,1698532228
32,gobabis,-22.45,18.9667,17.89,23,0,3.54,NA,1698532306
33,papatowai,-46.5619,169.4708,12.58,56,56,1.85,NZ,1698532307
34,kone,-21.0595,164.8658,23.75,60,91,4.32,NC,1698532307
35,al hada,21.3675,40.2869,14.66,60,95,2.13,SA,1698532307
36,aasiaat,68.7098,-52.8699,-10.59,94,80,3.55,GL,1698532308
37,senj,44.9894,14.9058,17.86,80,38,4.88,HR,1698532308
38,port lincoln,-34.7333,135.8667,13.64,59,16,3.66,AU,1698532308
39,enewetak,11.3474,162.3373,28.7,74,77,5.22,MH,1698532309
40,georgetown,5.4112,100.3354,26.64,95,20,2.06,MY,1698532191
41,cuajinicuilapa,16.4667,-98.4167,27.79,79,100,2.54,MX,1698532309
42,klyuchi,52.2667,79.1667,-1.1,51,100,4.81,RU,1698532310
43,walvis bay,-22.9575,14.5053,13.53,82,28,5.66,NA,1698532310
44,puerto natales,-51.7236,-72.4875,3.62,86,100,2.87,CL,1698532071
45,tamanrasset,22.785,5.5228,24.95,15,75,2.06,DZ,1698532310
46,ardestan,33.3761,52.3694,17.89,32,48,1.04,IR,1698532310
47,qaqortoq,60.7167,-46.0333,0.32,83,48,0.43,GL,1698532157
48,dryden,49.7833,-92.7503,-2.84,86,100,5.66,CA,1698532311
49,thompson,55.7435,-97.8558,-3.91,86,75,1.54,CA,1698532311
